owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
49393	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.23	0.0	0.01	0.0	0.04	0.41	0.02	0.17	0.05	0.0	326.35
34221	0.0	0.0	0.03	0.27	0.0	0.04	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.21	0.0	0.13	0.08	0.13	114.12
34228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.13	0.0	0.0	135.55
49396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.08	0.0	0.33	0.0	0.42	0.15	0.0	220.12
34239	0.0	0.0	0.05	0.0	0.0	0.12	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.32	0.0	0.19	0.05	0.0	75.43
49398	0.0	0.0	0.0	0.1	0.03	0.01	0.09	0.01	0.04	0.0	0.01	0.07	0.03	0.33	0.0	0.12	0.08	0.09	562.79
49399	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.13	0.08	0.23	0.39	0.0	88.95
49400	0.0	0.0	0.02	0.0	0.01	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.23	0.0	0.28	0.09	0.0	270.13
49401	0.0	0.0	0.06	0.0	0.11	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.04	0.43	0.07	0.0	85.03
49402	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	7.56
49403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	-0.0	0.17	0.0	0.08	0.65	104.55
34280	0.0	0.0	0.06	0.0	0.0	0.09	0.11	0.0	0.0	0.0	0.0	0.0	0.25	-0.0	0.0	0.31	0.18	0.0	53.27
49405	0.0	0.0	0.05	0.0	0.03	0.02	0.04	0.0	0.02	0.0	0.01	0.0	0.27	0.21	0.0	0.25	0.08	0.02	330.31
49406	0.0	0.0	0.0	0.11	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.52	212.92
